"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG7695-PA" 51.2678250598924 5.70679383317739 1.5751063500488 3.62311651718031 0.00029107462181729 0.00677947979056863
"Cyp12a4-PA" 224.189145215987 2.82166926829213 0.758617457646497 3.71948897280319 0.000199626262162283 0.00502205178223095
"CG16727-PA" 390.371146642803 4.26208881417753 0.812793745567917 5.2437519818752 1.57343673252417e-07 1.46034755687066e-05
"CG6300-PA" 148.570900128809 3.37269570177517 0.956985068082294 3.52429292186735 0.000424614562512784 0.00909061177016005
"Surf6-PA" 778.300046807397 -1.37961328531344 0.320609161390791 -4.30310000914737 1.68424777433237e-05 0.000694844410257413
"Sep2-PA" 428.987704736542 1.27462689172035 0.291620239144779 4.37084509449135 1.23766577202619e-05 0.000541763596119473
"Syp-PJ" 50.3726825444518 9.137037529108 1.77546533955373 5.14627761272129 2.65706120543361e-07 2.26397637182574e-05
"CG15695-PA" 60.0515527073923 2.79982865715093 0.738607606629213 3.79068483999037 0.00015023248264144 0.00402259583332576
"Smyd5-PA" 260.251141848985 -1.18864185804849 0.317715381784663 -3.74121596307892 0.000183132067873698 0.00468952333982745
"CG31198-PA" 1248.23181629774 2.77967472941564 0.622062565027335 4.46848096267212 7.87770220465937e-06 0.000370011962831591
"fit-PA" 46.0043049667719 6.55840421020584 1.71757751677517 3.81840362146771 0.000134318039718776 0.00369124259557789
"Nop56-PA" 1214.3329898973 -1.18376415850163 0.304422176157921 -3.8885608579565 0.00010084038636956 0.00291783206703456
"CG6937-PA" 479.399440430109 -1.40177578089729 0.249171120192395 -5.6257554238827 1.84697883476803e-08 2.31980541646864e-06
"loco-PC" 33.5555368653169 8.55122734880473 1.89877977093057 4.50353826163519 6.68313287986893e-06 0.000326568302913711
"Dph5-PA" 365.26872151821 -1.46061754344349 0.317380404454748 -4.60210373086139 4.182447973939e-06 0.000220927064941152
"CCT1-PB" 887.006267982677 -1.10917659608178 0.23480458654231 -4.72382849251504 2.31445626023247e-06 0.000137216504715041
"CCT1-PA" 887.006267982677 -1.10917659608178 0.23480458654231 -4.72382849251504 2.31445626023247e-06 0.000137216504715041
"CG12499-PA" 1001.10547095928 -1.25915023513018 0.184795036389271 -6.81376653687698 9.50759552941186e-12 4.60602256562021e-09
"CG7029-PC" 41.8104617393226 7.41306578843204 1.87659614845361 3.95027230261594 7.80623307009297e-05 0.00236361585600886
"CG7029-PD" 41.8104617393226 7.41306578843204 1.87659614845361 3.95027230261594 7.80623307009297e-05 0.00236361585600886
"CG6733-PA" 187.307776863958 3.26363648635587 0.759263508865854 4.2984239967372 1.72016865810537e-05 0.000706227112998419
"Rad60-PB" 55.3631535349812 -3.91678232549324 0.785362675730799 -4.98722748932343 6.12519269947123e-07 4.55520909702782e-05
"Rad60-PC" 55.3631535349812 -3.91678232549324 0.785362675730799 -4.98722748932343 6.12519269947123e-07 4.55520909702782e-05
"Rad60-PF" 78.2249564084468 6.72328504616125 1.23498135396613 5.44403769706279 5.20861896160704e-08 5.8878228742006e-06
"CG10254-PB" 550.981523105339 -3.46126336821377 0.448959936128356 -7.70951501388357 1.26296764403681e-14 7.93143680455119e-12
"CG10254-PA" 550.981523105339 -3.46126336821377 0.448959936128356 -7.70951501388357 1.26296764403681e-14 7.93143680455119e-12
"CG31145-PD" 31.3994280568943 8.45472291009604 2.07695419070958 4.07073152981171 4.68657357417523e-05 0.00161187711001451
"GluProRS-PA" 832.022252996812 -1.04922593504889 0.194788316115753 -5.38649317357097 7.18456567162394e-08 7.8090702261574e-06
"RpS19b-PB" 37.1498168934907 3.42872757422283 0.862813387100384 3.97389241461075 7.07075112007914e-05 0.00221202317328528
"RpS19b-PC" 37.1498168934907 3.42872757422283 0.862813387100384 3.97389241461075 7.07075112007914e-05 0.00221202317328528
"sba-PH" 44.6930807920139 -8.92535969197839 1.87192106253775 -4.76802140357262 1.86044022580075e-06 0.000117269979437463
"Kal1-PA" 249.02578876886 3.28497767044338 0.494901661590741 6.63763718207091 3.18751264720889e-11 1.25691777781567e-08
"cav-PA" 49.7578674052362 -9.08025536851039 1.7960519732306 -5.05567517190358 4.28870765147939e-07 3.32051721180294e-05
"Dis3-PA" 204.634551691729 -1.30133804511256 0.344435730033406 -3.77817378291835 0.000157982623520611 0.00420526430834455
